wkb_geometry;codice;strada;desvia;fumetto;vifraz;sensouni;tipo_arco;tipo_cod;tipo_stra
"LINESTRING (663679 5109146,663687.89 5109150.88,663694.81 5109153.5,663708.25 5109155.0,663740.5 5109154.5,663748.75 5109156.5,663754.5 5109160.0,663759.69 5109163.5,663762.77 5109167.85,663765.44 5109177.5,663766.4 5109193.04,663767.62 5109204.5,663770.62 5109213.5,663777.54 5109227.59,663788.0 5109243.05,663797.32 5109254.0,663800.58 5109256.81,663803.98 5109256.81,663810.64 5109256.07,663818 5109256,663823.44 5109257.5,663830.53 5109260.77,663839.62 5109265.5,663846.19 5109267.5,663854.69 5109267.0,663859.3 5109265.76,663865.88 5109260.5,663867.37 5109254.9,663868.55 5109248.73,663868.55 5109241.39,663867.67 5109233.91,663866.44 5109226.0,663864.73 5109217.91,663861.68 5109208.14,663860.12 5109198.5,663860.48 5109192.07,663863.69 5109185.5,663868.88 5109181.0,663872.78 5109178.99,663885.72 5109174.31,663892.44 5109170.0,663897.17 5109165.94,663904.75 5109159.0,663912.58 5109149.65,663918.19 5109142.5,663923.06 5109138.5)";8525;8525;STRADA DELLA FACHINA;STRADA DELLA FACHINA;TRENTO;0;;0;
"LINESTRING (663056.06 5107659.0,663074.12 5107585.5)";5790;5790;VIA NOCE;VIA NOCE;TRENTO;0;SECONDARIO;0;
"LINESTRING (665962.93 5104664.2,665971.51 5104659.3,665978.66 5104656.27,665989.43 5104655.17,666009.66 5104655.94,666027.84 5104657.28,666044.95 5104658.9,666054.56 5104659.8,666066.88 5104660.5,666086.86 5104661.9,666120.96 5104664.5,666146.51 5104666.63)";6190;6190;VIA GREZONI;VIA GREZONI;TRENTO;0;;0;
"LINESTRING (663658.94 5109789.98,663660.54 5109794.47)";8462;8462;VIA DELLA GUERRA RUSTICA;VIA DELLA GUERRA RUSTICA;TRENTO;0;;0;
"LINESTRING (660341.6 5101783.91,660339.06 5101786.4,660337.31 5101792.0,660336.11 5101799.96,660334.63 5101806.52,660332.14 5101813.99,660329.43 5101820.15,660324.56 5101828.16,660318.19 5101837.5,660306.18 5101852.01,660295.46 5101866.91,660284.96 5101884.62,660273.62 5101905.5,660262.31 5101926.98,660255.5 5101941.5,660251.5 5101951.0,660245.06 5101977.0,660242.31 5101988.5,660239.56 5101997.5,660234.49 5102008.8,660221.2 5102030.21,660215.94 5102037.5,660211.0 5102042.5,660209.09 5102043.95,660206.48 5102044.85,660203.88 5102044.5)";8653;8653;STRADA DI VANEZE;STRADA DI VANEZE;TRENTO;0;;1;SP 85 del Monte Bondone
"LINESTRING (659828.69 5101198.68,659826.56 5101196.69,659823.25 5101196.0,659818.31 5101197.0,659746.18 5101229.1,659737.25 5101234.0,659728.94 5101240.0,659722.38 5101246.5,659686.41 5101284.58,659681.31 5101291.83,659679.06 5101297.0,659677.25 5101305.0,659675.44 5101310.0,659673.35 5101313.22,659671.61 5101314.29,659667.89 5101314.64,659665.94 5101313.78,659664.62 5101312.5,659663.43 5101309.94,659663.35 5101307.35,659664.62 5101301.5,659674.5 5101264.0,659683.51 5101226.83,659686.26 5101219.3,659704.39 5101188.86,659710.87 5101176.96,659715.56 5101167.17,659719.88 5101154.5,659722.38 5101143.0,659723.5 5101131.5,659723.94 5101121.5,659723.25 5101107.0,659719.69 5101085.0,659711.75 5101053.0,659709.94 5101042.0,659708.38 5101028.5,659706.56 5101005.5,659707.25 5100992.0,659712.0 5100951.5,659712.44 5100941.0,659711.12 5100922.66,659706.41 5100898.02,659706.17 5100889.93,659707.47 5100881.59,659709.5 5100873.5,659710.06 5100869.69,659709.94 5100866.0,659708.12 5100862.5,659705.6 5100861.03,659700.99 5100860.06,659698.88 5100860.5,659695.89 5100862.08,659693.69 5100864.5,659687.62 5100901.5,659683.1 5100922.63,659680.92 5100931.13,659676.75 5100941.5,659650.62 5100997.5,659643.68 5101009.65,659632.31 5101026.5,659625.06 5101034.0,659618.75 5101038.5,659608.55 5101042.75,659596.44 5101045.0,659584.27 5101046.4,659566.44 5101047.5,659531.0 5101048.5,659511.82 5101049.72,659494.98 5101051.5,659484.25 5101053.5,659477.34 5101056.27,659472.06 5101060.5,659456.06 5101079.5,659450.62 5101083.5,659448.3 5101084.51,659445.54 5101084.93,659443.33 5101084.4,659441.32 5101083.41,659438.75 5101080.23,659438.56 5101075.0,659446.19 5101052.5,659452.38 5101038.93,659457.5 5101031.91,659465.21 5101024.58,659474.26 5101018.79,659493.94 5101007.5,659498.06 5101004.0,659502.44 5100999.5,659510.04 5100990.3,659531.94 5100968.5,659535.44 5100962.5,659537.97 5100954.69,659541.12 5100939.95,659541.44 5100928.0,659540.47 5100916.88,659537.38 5100905.5,659531.62 5100891.0,659522.88 5100866.5,659513.11 5100830.6,659510.61 5100824.88,659505.36 5100816.57,659500.12 5100810.68,659491.91 5100804.29,659481.35 5100797.71,659468.38 5100787.96,659465.27 5100783.96,659462.33 5100780.18,659460.57 5100775.59,659459.0 5100771.5,659459.46 5100763.28,659462.15 5100742.96,659462.5 5100731.23,659460.66 5100709.5,659460.38 5100699.5,659462.2 5100655.83,659460.94 5100646.5,659460.82 5100636.65,659464.75 5100614.0,659464.86 5100609.79,659462.28 5100606.62,659458.8 5100605.24,659454.75 5100606.29,659451.43 5100609.45,659450.71 5100615.44,659449.44 5100638.0,659448.12 5100650.5,659446.33 5100660.53,659443.02 5100669.59,659431.36 5100692.66,659426.12 5100701.33,659421.15 5100707.89,659418.48 5100710.06,659415.65 5100711.26,659409.09 5100711.97,659384.41 5100710.43,659374.05 5100710.75)";8053;8053;STRADA DI VASON;STRADA DI VASON;TRENTO;0;PRINCIPALE;1;SP 85 del Monte Bondone
"LINESTRING (663817.3 5109770.69,663821.41 5109769.76,663840.69 5109768.37,663857.3 5109768.0,663861.07 5109768.24)";8480;8480;VIA AL CANON;VIA AL CANON;TRENTO;0;;0;
"LINESTRING (664385.94 5110447.5,664390.17 5110438.45,664403.74 5110399.39,664409.64 5110380.94,664412.4 5110376.86)";8504;8504;VIA DEI CIGOI;VIA DEI CIGOI;TRENTO;0;;0;
"LINESTRING (664351.06 5110782.5,664382.83 5110824.04,664392.19 5110837.0,664395.5 5110842.0,664401.81 5110852.5,664407.62 5110863.0,664412.19 5110872.0)";8414;8414;VIA DEL PORFIDO;VIA DEL PORFIDO;TRENTO;0;;1;SP 76 Gardolo-Lases
"LINESTRING (664508.19 5105507.0,664514.19 5105494.5,664515.35 5105487.32,664515.52 5105458.96,664516.62 5105421.5,664517.19 5105409.0,664517.69 5105396.5,664517.97 5105390.72)";6180;6180;VIA ALLE GEMELLE;VIA ALLE GEMELLE;TRENTO;0;;0;
